architect_rule_or_exception,requirement_id,component_acceptance_present,scenario_ids
P2 R7,FR-P2-04,✅,"TC-032, TC-033, TC-034"
P2 R8,FR-P2-04,✅,"TC-020, TC-022"
P2 R9,FR-P2-05,✅,"TC-022, TC-023"
P2 R10,FR-P2-05,✅,"TC-022, TC-030, TC-037"
P2 R11,FR-P2-06,✅,"TC-023, TC-024"
P2 R12,FR-P2-06,✅,TC-025
P2 R13,FR-P2-07,✅,TC-025
P2 R14,FR-P2-07,✅,TC-023
P2 R15,FR-P2-08,✅,"TC-023, TC-024, TC-121"
P2 R16,FR-P2-08,✅,TC-023
P2 R17,FR-P2-09,✅,TC-025
P2 R18,FR-P2-09,✅,TC-026
P2 R19,FR-P2-10,✅,TC-035
P2 R20,FR-P2-10,✅,TC-027
P2 R21,FR-P2-11,✅,TC-027
P2 R22,FR-P2-11,✅,"TC-025, TC-027, TC-081"
P2 R23,FR-P2-12,✅,TC-027
P2 R24,FR-P2-12,✅,"TC-021, TC-027"
P2 R25,FR-P2-13,✅,TC-028
P2 R26,FR-P2-13,✅,TC-031
P2 R28,FR-P2-15,✅,TC-027
P2 R29,FR-P2-16,✅,"TC-029, TC-092"
P2 R30,FR-P2-16,✅,TC-030
P2 R31,FR-P2-17,✅,"TC-030, TC-031"
P2 R32,FR-P2-17,✅,TC-031
P2 R33,FR-P2-18,✅,TC-030
P2 R34,FR-P2-19,✅,TC-035
P2 R35,FR-P2-14,✅,"TC-028, TC-038"
P2 R36,FR-P2-14,✅,"TC-028, TC-038"
P2 R37,FR-P2-09,✅,"TC-026, TC-039"
P2 R39,FR-P2-21,✅,TC-099
P2 R40,FR-P2-22,✅,TC-101
P2 R41,FR-P2-23,✅,TC-102
P2 R42,FR-P2-24,✅,TC-103
P2 R43,FR-P2-25,✅,TC-119
P3 R1,FR-P3-01,✅,"TC-040, TC-041"
P3 R2,FR-P3-01,✅,"TC-040, TC-041"
P3 R3,FR-P3-02,✅,"TC-040, TC-041"
P3 R4,FR-P3-02,✅,"TC-040, TC-041"
P3 R5,FR-P3-03,✅,"TC-040, TC-041"
P3 R6,FR-P3-03,✅,"TC-040, TC-041"
P3 R7,FR-P3-04,✅,"TC-042, TC-043"
P3 R8,FR-P3-04,✅,"TC-042, TC-043"
P3 R9,FR-P3-05,✅,TC-112
P3 R10,FR-P3-06,✅,TC-113
P4 R1,FR-P4-01,✅,TC-050
P4 R2,FR-P4-01,✅,TC-050
P4 R3,FR-P4-02,✅,"TC-050, TC-051, TC-053"
P4 R4,FR-P4-02,✅,"TC-050, TC-051, TC-053"
P4 R5,FR-P4-03,✅,"TC-050, TC-051, TC-052"
P4 R6,FR-P4-03,✅,"TC-050, TC-051, TC-052"
P4 R7,FR-P4-04,✅,"TC-050, TC-051, TC-052"
P4 R8,FR-P4-04,✅,"TC-050, TC-051, TC-052"
P4 R9,FR-P4-05,✅,TC-100
"P5 E01 — SHORT_ALLOCATED, allowPartialShipment = false",FR-P5-01,✅,TC-060
"P5 E02 — SHORT_ALLOCATED, allowPartialShipment = true",FR-P5-02,✅,TC-060
"P5 E03 — SHORT_PICKED, ponowienie i eskalacja",FR-P5-03,✅,TC-061
"P5 E04 — SHORT_PICKED, wynik „czekamy”",FR-P5-04,✅,TC-062
"P5 E05 — SHORT_PICKED, wynik „anulowanie”",FR-P5-05,✅,TC-062
"P5 E06 — SHORT_PICKED, trwała zgoda na część",FR-P5-06,✅,TC-062
P5 E07 — Brak lub uszkodzenie przy pakowaniu,FR-P5-07,✅,TC-063
P5 E08 — ON_HOLD,FR-P5-08,✅,TC-064
P5 E09 — Anulowanie ogólne,FR-P5-09,✅,TC-065
P5 E10 — Brak wyniku Carrier Selection,FR-P5-10,✅,TC-066
P5 E11 — Błąd etykiety / odrzucenie przez przewoźnika,FR-P5-11,✅,TC-066
"P5 E12 — Niedobór lub DAMAGED, allowPartialShipment = false",FR-P5-12,✅,TC-067
"P5 E13 — Niedobór lub DAMAGED, allowPartialShipment = true",FR-P5-13,✅,TC-067
P5 E14 — Puste TU przed pobraniem,FR-P5-14,✅,TC-067
P5 E15 — Anulowanie podczas sortowania,FR-P5-15,✅,TC-067
P5 E16 — Odrzucenie Goods Receipt,FR-P5-16,✅,TC-067
"P5 E17 — `allowPartialShipment = false`, część `CustomerOrderLine` zamówienia nie spełnia ani (A), ani (B) z `R58`, a inne linie tego samego `CustomerOrder` mają już `OutboundOrderLine` w `PACKED`",FR-P5-17,✅,TC-127
