id,title,objective,architect_refs,requirements,dependencies,target_components,db_impact,backend_impact,mercato_impact,scanner_impact,integration_impact,migration_impact,tests,acceptance_mapping,evidence,dod
P1-009,Direct Pack declaration and automatic sealing,Implement immutable directPackDeclared at first scan and automatic qualification/sealing/line PACKED behavior when issue criteria allow.,P1 R15–P1 R16;P1 R17–P1 R18,FR-P1-08;FR-P1-09,P1-006;P1-008,TU;OutboundOrderLine;Scanner picking,Persist immutable directPackDeclared and resulting TU/line transition facts.,Guard first-scan declaration and automatic READY_TO_PACK→PACK_QUALIFIED→PACKING_SEALED path.,Visibility of direct-pack result.,Picker declares direct pack on first scan and sees outcome; no Packer action when auto path succeeds.,None external.,None beyond additive target fields.,immutability tests;issue criteria tests;transition integration;Playwright direct-pack journey,TC-001;TC-004;TC-005,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey.",Declaration cannot change later; successful direct pack reaches sealed/PACKED states without hidden manual packing step.
P1-010,"Packing, repack, consolidation and discrepancy handling","Implement READY_TO_PACK processing, qualification, repack-all/repack-by-SKU, consolidation and packing shortages/damage/unexpected SKU outcomes.",P1 R19–P1 R20;P1 R21–P1 R22;P1 R23–P1 R24;P1 R25–P1 R26;P1 Wyjątki — brak lub uszkodzenie przy „repack by SKU”,FR-P1-10;FR-P1-11;FR-P1-12;FR-P1-13;FR-P5-07,P1-006;P1-008,Packing backend;Mercato/Packer UI;TU contents;QC handoff,"Persist source/target TU content moves, packing confirmations and discrepancy facts.","Server validates repack rules, shortage confirmation and terminal TU/line effects.",Packer flow for scan/select/repack/confirm discrepancy and resulting status.,Scanner only if packing is delivered there by existing product boundary; otherwise no duplicate UI.,QC handoff/event only as architect requires; no invented QC workflow.,No destructive shared TU changes.,packing calculation tests;repack transaction tests;discrepancy tests;Playwright repack/consolidation/shortage path,TC-001;TC-005;TC-006;TC-063,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey. Regression of accepted Inbound behavior for every touched shared Inventory/TU/warehouse/lock/orchestration primitive.",Packer can complete allowed modes through normal UI; shortage requires recheck+explicit confirmation; damage/unexpected behavior matches source.
P1-011,"Shipment grouping, closure and partial-shipment gates","Create stable Shipment grouping from packed TUs and enforce SLA/allowPartialShipment/customer-order completeness guards, including late-TU follow-up shipments.",P1 R25–P1 R26;P1 R27–P1 R28;P1 R29–P1 R30;P1 R57;P1 R58;P1 R60;P1 Wyjątki — P5 E17;P1 R37–P1 R41,FR-P1-13;FR-P1-14;FR-P1-15;FR-P1-31;FR-P1-32;FR-P1-34;FR-P5-17;CON-04,P1-003;P1-009;P1-010,Shipment;Shipment-TU/line links;CustomerOrder guard,"Persist grouping keys, contributing TUs/orders/lines and closure boundary.",Idempotent grouping/closure and allowPartial false gate.,Shipment operational view and blocked reason.,No RF action beyond showing handoff state if needed.,Downstream carrier/ERP starts only after ready state.,Do not treat public sales_shipments as authoritative lifecycle without explicit adapter/mapping.,grouping key tests;parallel grouping tests;allowPartial guard tests;late TU tests;Playwright shipment readiness/blocking,TC-001;TC-006;TC-007;TC-104;TC-105;TC-107;TC-122;TC-123;TC-124;TC-125;TC-126;TC-127;TC-128,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey.",Each TU belongs to at most one active Shipment grouping; repeated planner runs are non-regressive and partial-forbidden orders cannot dispatch early.
P1-012,"Carrier, Region and CarrierSetup selection","Implement delivery Region and CarrierSetup applicability with weight/volume ranges, unique priority tie-break and Supervisor manual fallback/override.",P1 R31–P1 R32;P1 R33–P1 R34;P1 R51–P1 R52;P1 Wyjątki — brak wyniku Carrier Selection,FR-P1-16;FR-P1-17;FR-P1-26;FR-P5-10,P1-011;P1-008,Carrier master adapter;Region;CarrierSetup;Carrier selection service;Mercato Supervisor UI,Add/extend carrier setup/region config and uniqueness for priority where architect requires.,Deterministic selection: region + maxWeight/current contents + maxVolume/TUSetup; narrowest ranges then priority.,"Show automatic result, no-result reason and manual choice/override.",No Scanner-owned carrier rules.,Do not call external carrier API for v1 selection.,Map existing ref_carrier/provider data without importing provider-label lifecycle.,selection/tie-break tests;no-match/manual tests;config validation;Playwright automatic + manual fallback,TC-001;TC-003;TC-007;TC-066,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey.",Same inputs always yield same carrier; external TU/no maxVolume follows manual path; Supervisor can override as source allows.
P1-013,WMS label generation and pre-manifest loading carrier correction,Generate/print label from WMS-owned data and support architect-permitted carrier correction before manifest close without introducing carrier Label API.,P1 R33–P1 R34;P1 R35–P1 R36;P1 Wyjątki — błąd etykiety lub odrzucenie przez przewoźnika,FR-P1-17;FR-P1-18;FR-P5-11,P1-012,Shipment label service;Mercato print UI,Persist label generation/print result needed for state/evidence; no provider label ownership.,Generate internal label payload and guarded correction behavior.,Print/reprint/visible error path exactly within source scope.,No Scanner flow unless existing dispatch UI is Scanner-owned.,Explicitly no external carrier label API in v1.,Do not reuse carrier_shipments label_url/label_data as business authority.,label data tests;print/error tests;carrier correction state tests;Playwright label generation/print/error,TC-001;TC-007;TC-066,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey.",A user can generate/print the WMS label through normal UI; errors remain recoverable without invented carrier rejection integration.
P1-014,"ERP Shipment POST, error state and safe retry","Implement POSTING_PENDING/POSTED/POSTING_ERROR with unique Shipment identifier, durable attempt evidence and idempotent safe retry.",P1 R35–P1 R36;P1 R37–P1 R38;P1 KROK 13;P1 R43–P1 R46,FR-P1-18;FR-P1-19;INT-04;INT-05;CON-05,P1-011;P1-013;FND-002,Shipment posting service;wms_orchestration outbox/retry;ERP adapter,"Persist posting state, error details safe for operations, idempotency/correlation and attempt history.",Use durable outbox/retry; duplicate acceptance cannot double-apply business effects.,Supervisor sees error and can trigger architect-allowed retry/cancel action.,No RF action.,INT-04/05 request/response contract; downstream ERP rejection is observable.,Reuse orchestration infrastructure; do not repurpose carrier provider posting.,contract tests;retry/idempotency tests;failure recovery;Playwright POSTING_ERROR→retry→POSTED,TC-001;TC-007;TC-008,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey. Regression of accepted Inbound behavior for every touched shared Inventory/TU/warehouse/lock/orchestration primitive.",ERP duplicate/retry behavior is non-regressive; operational UI exposes error and safe retry; state advances only on accepted response.
P1-015,CarrierManifest lifecycle and dispatch boundaries,"Implement one-manifest assignment, OPEN→CLOSED→HANDED_OVER→CONFIRMED, irreversible CLOSED composition boundary and final warehouse confirmation.",P1 R39–P1 R40;P1 R70;P1 R72;P1 R37–P1 R41;P1 R43–P1 R46,FR-P1-20;FR-P1-44;FR-P1-46;CON-04;CON-05,P1-014,CarrierManifest;Shipment;dispatch UI,"Persist manifest, Shipment membership, status/audit timestamps and uniqueness constraints.",Guard close/handover/confirm and forbid membership changes after CLOSED.,Dispatch/Supervisor UI for manifest lifecycle.,No Scanner action unless loading handover is scanner-owned in current product.,No external carrier API required.,New target model; do not equate carrier_shipments with manifest.,manifest transition tests;composition lock concurrency;idempotent confirm tests;Playwright close/handover/confirm,TC-001;TC-008;TC-128;TC-129;TC-132;TC-133,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey.",CLOSED is irreversible and distinct from physical handover; duplicate confirm cannot settle stock twice.
P1-016,Final line/order/inventory settlement and cancellation boundaries,"Settle OutboundOrderLine/Allocation/Inventory quantities per confirmed contributing manifests, complete orders only when all contributing manifests are confirmed, and enforce cancellation boundaries.","P1 R37–P1 R38;P1 R41–P1 R42;P1 R49–P1 R50;P1 Funkcja ciągła F1;P1 R70;P1 R71;P1 R72;P1 Wyjątki — żądanie anulowania `CustomerOrder` lub `CustomerOrderLine`;P3 KROK 1, P4 KROK 1;P1 R43–P1 R46",FR-P1-19;FR-P1-21;FR-P1-25;FR-P1-27;FR-P1-44;FR-P1-45;FR-P1-46;FR-P5-09;INT-06;CON-05,P1-015;P1-004;P1-001,Inventory ledger;Allocation;OutboundOrder/Line;CustomerOrder/Line,Exactly-once settlement records keyed by manifest/line/allocation; cancellation audit.,Aggregate shipped/fulfilled/completed states and choose P3/P4 cancellation path from formal pickedQty.,Supervisor sees final status and blocked cancellation reason.,Scanner receives recovery task only through P4 when applicable.,INT-06 cancellation correlation.,Supersede legacy trigger that marks SO SHIPPED merely from outbound_delivery.SHIPPED.,multi-shipment settlement tests;duplicate manifest tests;cancellation boundary tests;Playwright final close + cancellation rejection,TC-001;TC-003;TC-008;TC-009;TC-065;TC-128;TC-129;TC-130;TC-131;TC-132;TC-133,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey. Regression of accepted Inbound behavior for every touched shared Inventory/TU/warehouse/lock/orchestration primitive.",No line/order closes early; quantities settle exactly once; cancellation routes correctly before/after formal pick and respects manifest boundary.
P2-001,Inbound crossdock boundary and demand/source eligibility,Consume eligible ELEMENTARY inbound TU at IN_CROSS_DOCK and calculate demandEligibleQty/sourceEligibleQty/crossDockEligibleQty without double coverage.,"P2 R1–P2 R2;P2 R5–P2 R6;P2 R41;P2 R42;P2 R43;P2 KROK 1;P2 R6, P2 R29–P2 R30",FR-P2-01;FR-P2-03;FR-P2-23;FR-P2-24;FR-P2-25;INT-01;CON-03,FND-001;FND-003;P1-002;P1-003,Inbound crossdock adapter;CustomerOrderLine demand;TU source eligibility,Persist sourceInboundTU correlation and eligibility/assignment facts.,Eligibility service excludes ATPReservation and non-cancelled OOL coverage; source capacity subtracts planned/confirmed/damaged use.,Supervisor visibility only.,Crossdock module receives only tasks created after binding demand.,"INT-01 receives TU id, SKU, ASN-declared qty, receipt correlation.",Reuse existing wms_cross_dock_demands only if mapping is explicit; do not mutate Inbound qualification semantics.,eligibility math tests;ELEMENTARY guard;parallel assignment tests;INT-01 contract;Inbound regression,TC-020;TC-029;TC-036;TC-092;TC-102;TC-103;TC-119;TC-134,Test names + commit SHA + migration/schema evidence + persisted-state assertions; no secrets in evidence. Regression of accepted Inbound behavior for every touched shared Inventory/TU/warehouse/lock/orchestration primitive.,No quantity is double planned; aggregate TU is rejected; zero eligible demand creates no task and leaves residual for Inbound settlement.
P2-002,Crossdock OutboundOrder/Line and CrossDockPickTask planning,"Create CROSSDOCK OutboundOrder/Line and exactly-once CrossDockPickTask assignments without Allocation, preserving target continuity and inherited SLA/priority.","P2 R3–P2 R4;P2 R5–P2 R6;P2 R7–P2 R8;P2 R29–P2 R30;P2 R39;P2 R40;P2 R43;P2 R6, P2 R29–P2 R30",FR-P2-02;FR-P2-03;FR-P2-04;FR-P2-16;FR-P2-21;FR-P2-22;FR-P2-25;CON-03,P2-001;FND-002,CrossDock planner;CrossDockPickTask;OutboundOrder/Line,Persist task plannedQty/source/target line/status and unique assignment constraints.,Lazy target outbound TU creation at first placement; active task always has target; no Allocation.,Operational visibility.,Operator enters Crossdock module and receives next eligible task; no zone selector.,None beyond Inbound source correlation.,New task model; existing crossdock demand table remains source primitive only.,task planning tests;unique assignment concurrency;channel/SLA inheritance tests;Playwright crossdock module assignment,TC-020;TC-021;TC-022;TC-029;TC-030;TC-032;TC-033;TC-034;TC-036;TC-092;TC-099;TC-101;TC-119;TC-134,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey.",One source quantity is assigned at most once; active task has target continuity; no Allocation is created.
P2-003,RF crossdock sorting into outbound TUs,"Implement Scanner sorting of one source TU across target outbound TU(s), including lazy target creation, physical-full/SLA sealing and task completion.",P2 R3–P2 R4;P2 R7–P2 R8;P2 R9–P2 R10;P2 R19–P2 R20;P2 R23–P2 R24;P2 R34;P2 R39;P2 R40,FR-P2-02;FR-P2-04;FR-P2-05;FR-P2-10;FR-P2-12;FR-P2-19;FR-P2-21;FR-P2-22,P2-002;P1-008,Scanner crossdock journey;CrossDockPickTask service;Outbound TU,"Persist confirmed placements, target TU links and task/TU transitions.",Validate source SKU/qty/task target and target TU close conditions.,Read-only operational visibility.,Normal scan flow from task→source TU→SKU/qty→target TU(s)→complete.,None external.,Supersede receiving-style Outbound mode while reusing scanner primitives.,placement transaction tests;multi-target TU tests;duplicate scan tests;Playwright 1:1 + n:n crossdock,TC-020;TC-021;TC-022;TC-023;TC-027;TC-030;TC-032;TC-033;TC-034;TC-035;TC-037;TC-099;TC-101,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey. Regression of accepted Inbound behavior for every touched shared Inventory/TU/warehouse/lock/orchestration primitive.",User can physically sort through normal Scanner UI; task/TU states and confirmed quantities match persisted facts.
P2-004,"Crossdock shortage, damage, empty-TU and cancellation recovery","Implement confirmed shortage, DAMAGED, unexpected SKU, empty source TU, in-progress cancellation and residual/finalization rules.","P2 R11–P2 R12;P2 R13–P2 R14;P2 R15–P2 R16;P2 R17, P2 R18, P2 R37;P2 R19–P2 R20;P2 R21–P2 R22;P2 R23–P2 R24;P2 R28;P2 R34;P2 Wyjątki — niedobór lub `DAMAGED`, `allowPartialShipment = false`;P2 Wyjątki — niedobór lub `DAMAGED`, `allowPartialShipment = true`;P2 Wyjątki — puste `TU`;P2 Wyjątki — ogólne anulowanie przy `CrossDockPickTask IN_PROGRESS`",FR-P2-06;FR-P2-07;FR-P2-08;FR-P2-09;FR-P2-10;FR-P2-11;FR-P2-12;FR-P2-15;FR-P2-19;FR-P5-12;FR-P5-13;FR-P5-14;FR-P5-15,P2-003,CrossDockPickTask;Scanner crossdock exceptions;Inbound settlement handoff,Persist confirmedQty/damagedQty/residual and cancellation/finalization facts.,Apply allowPartial outcomes and source/target TU recovery non-regressively.,Supervisor decisions where architect requires.,Operator can record shortage/damage/empty source and see valid next action.,Produce crossdock result for Inbound settlement; no extra residual field beyond contract.,Preserve Inbound TU ownership outside Outbound-confirmed effects.,quantity conservation tests;damage/empty/cancel tests;partial-policy tests;Playwright shortage/damage/empty/cancel paths,TC-021;TC-023;TC-024;TC-025;TC-026;TC-027;TC-035;TC-039;TC-067;TC-081;TC-121,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey. Regression of accepted Inbound behavior for every touched shared Inventory/TU/warehouse/lock/orchestration primitive.",confirmed+damaged+residual quantities reconcile to declared source quantity; cancellation never leaves orphan active target/task.
